Symbol	Name_1	Name_2	Currency	Type	Exchange	Employees
662800	Nedbank Group Limited	Nedbank Group	ZAR	SHARE	JSE	"27,303.0"
563396	Nemetschek SE	Nemetschek	EUR	SHARE	ETR	"3,180.0"
BDD7WV	NEPI ROCKCASTLE S.A.	NEPI ROCKCASTLE	ZAR	SHARE	JSE	#N/A
B06YV4	Neste Corporation	Neste	EUR	SHARE	HEL	"4,845.0"
662933	Nestle (Malaysia) Bhd.	Nestle (Malaysia)	MYR	SHARE	KLS	"5,253.0"
612860	Nestle India Ltd.	Nestle India	INR	SHARE	BOM	"16,788.0"
712387	Nestle S.A.	Nestle	CHF	SHARE	SWX	"276,000.0"
263064	"NetApp, Inc."	NetApp	USD	SHARE	NAS	"11,000.0"
BM93SF	Netease Inc	NetEase	HKD	SHARE	HKG	"32,064.0"
285781	"Netflix, Inc."	Netflix	USD	SHARE	NAS	"11,300.0"
BF2S42	Netmarble Corp.	Netmarble	KRW	SHARE	KRX	822.0
262391	"Neurocrine Biosciences, Inc."	Neurocrine Biosciences	USD	SHARE	NAS	900.0
B5730Z	"New China Life Insurance Co., Ltd. Class H"	New China Life Insurance H	HKD	SHARE	HKG	"34,434.0"
BM94GQ	New World Development Co. Ltd.	New World Development	HKD	SHARE	HKG	"30,000.0"
663710	Newcrest Mining Limited	Newcrest Mining	AUD	SHARE	ASX	#N/A
263570	Newell Brands Inc	Newell Brands	USD	SHARE	NAS	"32,000.0"
263660	Newmont Corporation	Newmont Corp	USD	SHARE	NYS	"31,000.0"
BBGVT4	News Corporation Class A	News A	USD	SHARE	NAS	"24,000.0"
BJ1F88	Nexi S.p.A.	Nexi	EUR	SHARE	MIL	"9,929.0"
B63QM7	"NEXON Co., Ltd."	NEXON	JPY	SHARE	TKS	"6,683.0"
320898	Next plc	Next	GBP	SHARE	LON	"44,626.0"
232891	"NextEra Energy, Inc."	NextEra Energy	USD	SHARE	NYS	"15,000.0"
661950	"NGK Insulators, Ltd."	NGK Insulators	JPY	SHARE	TKS	"19,695.0"
653708	NH INVESTMENT & SECURITIES CO.LTD.	NH INVESTMENT & SECURITIES	KRW	SHARE	KRX	#N/A
BN7BZM	NIBE Industrier AB Class B	NIBE Industrier B	SEK	SHARE	OME	"20,583.0"
664713	NICE Ltd	NICE	ILS	SHARE	TAE	"6,383.0"
664068	Nidec Corporation	NIDEC	JPY	SHARE	TKS	"112,551.0"
BSZLN1	"Nien Made Enterprise Co., Ltd."	Nien Made Enterprise	TWD	SHARE	TAI	#N/A
B1DN46	Nihon M&A Center Holdings Inc.	Nihon M&A H	JPY	SHARE	TKS	810.0
264014	"NIKE, Inc. Class B"	NIKE B	USD	SHARE	NYS	"73,300.0"
B0WC2B	Nine Dragons Paper Holdings Ltd.	Nine Dragons Paper Hldgs	HKD	SHARE	HKG	"19,576.0"
663955	"Nintendo Co., Ltd."	Nintendo	JPY	SHARE	TKS	"6,574.0"
639680	"Nippon Building Fund, Inc."	Nippon Building Fund	JPY	SHARE	TKS	#N/A
BKSHP6	"NIPPON EXPRESS HOLDINGS,INC."	NIPPON EXPRESS	JPY	SHARE	TKS	"72,366.0"
664050	"Nippon Paint Holdings Co., Ltd."	Nippon Paint	JPY	SHARE	TKS	"30,247.0"
B98BC6	"Nippon Prologis REIT, Inc."	Nippon Prologis REIT	JPY	SHARE	TKS	#N/A
664054	Nippon Sanso Holdings Corporation	NIPPON SANSO HOLDINGS	JPY	SHARE	TKS	"19,357.0"
664056	"Nippon Shinyaku Co., Ltd."	Nippon Shinyaku	JPY	SHARE	TKS	"2,059.0"
664256	NIPPON STEEL CORP.	NIPPON STEEL	JPY	SHARE	TKS	"106,226.0"
664137	Nippon Telegraph and Telephone Corporation	Nippon Telegraph	JPY	SHARE	TKS	"324,667.0"
664396	Nippon Yusen Kabushiki Kaisha	Nippon Yusen	JPY	SHARE	TKS	"35,057.0"
264540	NiSource Inc	NiSource	USD	SHARE	NYS	"7,272.0"
664158	Nissan Chemical Corporation	Nissan Chemical	JPY	SHARE	TKS	"2,688.0"
664286	"Nissan Motor Co., Ltd."	Nissan Motor	JPY	SHARE	TKS	"132,324.0"
664096	Nisshin Seifun Group Inc.	Nisshin Seifun Group	JPY	SHARE	TKS	"8,951.0"
664176	"Nissin Foods Holdings Co., Ltd."	Nissin Foods	JPY	SHARE	TKS	"14,467.0"
664480	"Nitori Holdings Co., Ltd."	Nitori	JPY	SHARE	TKS	"18,400.0"
664180	Nitto Denko Corp.	Nitto Denko	JPY	SHARE	TKS	"25,424.0"
BNG8PQ	NN Group N.V.	NN Group	EUR	SHARE	AMS	"15,417.0"
B5MDP3	Noah Holdings Ltd. Sponsored ADR Class A	Noah Holdings ADR	USD	ADR	NYS	"3,148.0"
590294	Nokia Oyj	Nokia	EUR	SHARE	HEL	#N/A
664310	"Nomura Holdings, Inc."	Nomura Holdings	JPY	SHARE	TKS	"26,402.0"
B1CWJM	"Nomura Real Estate Holdings, Inc."	Nomura Real Estate Hldgs	JPY	SHARE	TKS	"7,390.0"
BYSJJF	"Nomura Real Estate Master Fund, Inc."	Nomura Real Estate Master	JPY	SHARE	TKS	#N/A
639092	"Nomura Research Institute,Ltd."	Nomura Research Inst	JPY	SHARE	TKS	"13,430.0"
BMGWW3	"Nongfu Spring Co., Ltd. Class H"	Nongfu Spring H	HKD	SHARE	HKG	"20,000.0"
BYZF9J	Nordea Bank Abp	Nordea Bank Abp	SEK	SHARE	OME	"26,894.0"
264183	Nordson Corporation	Nordson	USD	SHARE	NAS	"6,813.0"
264189	Norfolk Southern Corporation	Norfolk Southern	USD	SHARE	NYS	"18,100.0"
B11HK3	Norsk Hydro ASA	Norsk Hydro	NOK	SHARE	OSL	"31,264.0"
BMZ1NS	Northam Platinum Holdings Limited	Northam Platinum	ZAR	SHARE	JSE	"18,288.0"
671745	Northern Star Resources Ltd	Northern Star Resources	AUD	SHARE	ASX	"3,383.0"
264866	Northern Trust Corporation	Northern Trust	USD	SHARE	NAS	"21,100.0"
B68XHC	Northland Power Inc.	Northland Power	CAD	SHARE	TSE	"1,186.0"
264880	Northrop Grumman Corporation	Northrop Grumman	USD	SHARE	NYS	"88,000.0"
BJN4XN	NortonLifeLock Inc.	NortonLifeLock	USD	SHARE	NAS	"2,800.0"
710306	Novartis AG	Novartis	CHF	SHARE	SWX	"104,323.0"
634633	Novatek Microelectronics Corp.	Novatek Microelectronics	TWD	SHARE	TAI	#N/A
BJDQXG	"Novavax, Inc."	Novavax	USD	SHARE	NAS	"1,541.0"
BHC8X9	Novo Nordisk A/S Class B	Novo Nordisk B	DKK	SHARE	CSE	"47,792.0"
BYSS4X	NovoCure Ltd.	NovoCure	USD	SHARE	NAS	"1,167.0"
B798FW	Novozymes A/S Class B	Novozymes B	DKK	SHARE	CSE	"6,527.0"
221292	"NRG Energy, Inc."	NRG Energy	USD	SHARE	NYS	"6,635.0"
B037HF	NTPC Limited	NTPC	INR	SHARE	BOM	"119,383.0"
612563	NTT DATA Corporation	NTT DATA	JPY	SHARE	TKS	"139,677.0"
265108	Nucor Corporation	Nucor	USD	SHARE	NYS	"28,800.0"
BDRJLN	Nutrien Ltd.	Nutrien	CAD	SHARE	TSE	"23,500.0"
BMFNHJ	Nuvei Corporation	Nuvei	CAD	SHARE	TSE	"1,368.0"
237950	NVIDIA Corporation	NVIDIA	USD	SHARE	NAS	"22,473.0"
263778	"NVR, Inc."	NVR	USD	SHARE	NYS	"6,600.0"
B505PN	NXP Semiconductors NV	NXP Semiconductors	USD	SHARE	NAS	"31,000.0"
B65LWX	"O'Reilly Automotive, Inc."	O'Reilly Automotive	USD	SHARE	NAS	"83,636.0"
665640	Obayashi Corporation	Obayashi	JPY	SHARE	TKS	"15,267.0"
613674	"OBIC Co., Ltd."	OBIC	JPY	SHARE	TKS	"2,049.0"
B3MBS7	Ocado Group PLC	Ocado Group	GBP	SHARE	LON	"19,347.0"
265540	Occidental Petroleum Corporation	Occidental Petroleum	USD	SHARE	NYS	"11,678.0"
665610	"Odakyu Electric Railway Co., Ltd."	Odakyu Electric Railway	JPY	SHARE	TKS	"13,960.0"
613936	Oil & Natural Gas Corp. Ltd.	ONGC	INR	SHARE	BOM	"51,280.0"
665770	Oji Holdings Corp.	Oji Holdings	JPY	SHARE	TKS	"36,034.0"
BDFZSP	"Okta, Inc. Class A"	Okta A	USD	SHARE	NAS	"5,030.0"
265642	"Old Dominion Freight Line, Inc."	Old Dominion Freight Line	USD	SHARE	NAS	"23,663.0"
BDVPYN	Old Mutual Ltd.	Old Mutual	ZAR	SHARE	JSE	#N/A
665880	Olympus Corp.	Olympus	JPY	SHARE	TKS	"31,653.0"
227930	Omnicom Group Inc	Omnicom	USD	SHARE	NYS	"71,700.0"
665942	OMRON Corporation	Omron	JPY	SHARE	TKS	"28,254.0"
465145	OMV AG	OMV AG	EUR	SHARE	WBO	"22,434.0"
258357	ON Semiconductor Corporation	ON Semiconductor	USD	SHARE	NAS	"30,000.0"
B606XG	"Oneness Biotech Co., Ltd."	Oneness Biotech	TWD	SHARE	ROCO	#N/A
213010	"ONEOK, Inc."	ONEOK	USD	SHARE	NYS	"2,847.0"
265951	Onex Corporation	ONEX	CAD	SHARE	TSE	536.0
666010	"ONO Pharmaceutical Co., Ltd."	Ono Pharmaceutical	JPY	SHARE	TKS	"3,607.0"
615817	Ooredoo Q.P.S.C	Ooredoo	QAR	SHARE	DSMD	#N/A
BD3D17	Open House Group Co. Ltd	Open House Group	JPY	SHARE	TKS	"4,087.0"
226082	Open Text Corporation	Open Text	CAD	SHARE	TSE	"14,300.0"
BJLD2Y	Operadora de Sites Mexicanos SA de CV Series -A-1-	Operadora de Sites	MXN	SHARE	MEX	285.0
266156	Oracle Corporation	Oracle	USD	SHARE	NYS	"132,000.0"
614168	Oracle Corporation Japan	Oracle Japan	JPY	SHARE	TKS	"2,407.0"
